commune,taux
VALLOIRE,50.00
BOURG-SAINT-MAURICE,50.00
ALLONNES,50.00
LURE,50.00
"NEUVILLE SUR SAONE",50.00
"L ARBRESLE",50.00
LIMAS,50.00
"LES ANGLES",50.00
ARGELES-GAZOST,50.00
BAGNERES-DE-BIGORRE,50.00
BEAURAINS,50.00
BORNEL,50.00
RANTIGNY,50.00
"SAINT-ANDRE DE LA ROCHE",50.00
PEONE,50.00
VALDEBLORE,50.00
"CAP-D AIL",50.00
CONTES,50.00
SAINT-VALLIER-DE-THIEY,50.00
WATTRELOS,50.00
WASQUEHAL,50.00
BRECH,50.00
AURAY,50.00
PLOERMEL,50.00
"PONT A MOUSSON",50.00
CHAMPIGNEULLES,50.00
MAXEVILLE,50.00
TRIEUX,50.00
REHON,50.00
EPERNAY,50.00
"SAINT BRICE COURCELLES",50.00
PIROU,50.00
TIERCE,50.00
LAYRAC,50.00
LAFOX,50.00
TONNEINS,50.00
VILLEREAL,50.00
"LA FERTE SAINT-AUBIN",50.00
GIEN,50.00
SULLY-SUR-LOIRE,50.00
"SORINIERES (LES)",50.00
VERTOU,50.00
SAINT-MICHEL-CHEF-CHEF,50.00
ST-JULIEN-EN-BORN,50.00
SANGUINET,50.00
"LIT ET MIXE",50.00
SISTERON,50.00
CASTELLANE,50.00
GREOUX-LES-BAINS,50.00
"HAUTS DE BIENNE",50.00
POLIGNY,50.00
"LA TRONCHE",50.00
TENCIN,50.00
"AUTRANS-MEAUDRE EN VERCORS",50.00
MONTLOUIS-SUR-LOIRE,50.00
BOURGBARRE,50.00
CESSON-SEVIGNE,50.00
BRUZ,50.00
VERN-SUR-SEICHE,50.00
REDON,50.00
BAIN-DE-BRETAGNE,50.00
PLEURTUIT,50.00
JACOU,50.00
ANDERNOS-LES-BAINS,50.00
"ST LOUIS DE MONTFERRAND",50.00
AUDENGE,50.00
"LE BARP",50.00
COLOMIERS,50.00
BESSIERES,50.00
VAUVERT,50.00
GALLARGUES-LE-MONTUEUX,50.00
"LAUDUN-L ARDOISE",50.00
BEAUCAIRE,50.00
ALES,50.00
BONIFACIO,50.00
VICO,50.00
"LE COUDRAY",50.00
HANCHES,50.00
"EZY SUR EURE",50.00
MONTBOUCHER-SUR-JABRON,50.00
CHABEUIL,50.00
ORNANS,50.00
LANGUEUX,50.00
PLOUHA,50.00
SAINT-CAST-LE-GUILDO,50.00
PLANCOET,50.00
LANNION,50.00
CHAUNY,50.00
SOYAUX,50.00
GREASQUE,50.00
ARLES,50.00
CULOZ,50.00
CESSY,50.00
SEGNY,50.00
LAGNIEU,50.00
MASSY,48.00
"PARIS 14",47.95
LIVRY-GARGAN,47.83
BAGNEUX,47.06
PORT-LA-NOUVELLE,46.67
DOMONT,46.15
"BEAULIEU SUR MER",46.15
AVON,45.83
WISSOUS,45.45
"FONTENAY LE FLEURY",45.45
BISCARROSSE,45.45
"PARIS 07",44.83
"OZOIR LA FERRIERE",44.44
NEMOURS,44.44
"CAGNES SUR MER",44.44
"ST JEAN DE LA RUELLE",44.44
VENDOME,44.44
"PARIS 05",43.04
SAINT-PIERRE-DU-PERRAY,42.86
